Notes,State,Race,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,California,Asian or Pacific Islander,2007,2007,5142253
,California,Asian or Pacific Islander,2008,2008,5281970
,California,Asian or Pacific Islander,2009,2009,5412716
,California,Asian or Pacific Islander,2010,2010,5540548
,California,Asian or Pacific Islander,2011,2011,5661741
,California,Asian or Pacific Islander,2012,2012,5783063
,California,Asian or Pacific Islander,2013,2013,5921255
,California,Asian or Pacific Islander,2014,2014,6069535
,California,Asian or Pacific Islander,2015,2015,6230746
,California,Asian or Pacific Islander,2016,2016,6372651
,California,Asian or Pacific Islander,2017,2017,6502647
,California,Asian or Pacific Islander,2018,2018,6626166
Total,California,Asian or Pacific Islander,,,138258189
,California,Black or African American,1990,1990,2322371
,California,Black or African American,1991,1991,2361537
,California,Black or African American,1992,1992,2394610
,California,Black or African American,1993,1993,2406609
,California,Black or African American,1994,1994,2411731
,California,Black or African American,1995,1995,2418634
,California,Black or African American,1996,1996,2434897
,California,Black or African American,1997,1997,2455408
,California,Black or African American,1998,1998,2477681
,California,Black or African American,1999,1999,2502469
,California,Black or African American,2000,2000,2523792
,California,Black or African American,2001,2001,2547829
,California,Black or African American,2002,2002,2567326
,California,Black or African American,2003,2003,2585567
,California,Black or African American,2004,2004,2603152
,California,Black or African American,2005,2005,2615407
,California,Black or African American,2006,2006,2626937
,California,Black or African American,2007,2007,2639369
,California,Black or African American,2008,2008,2662354
,California,Black or African American,2009,2009,2691724
,California,Black or African American,2010,2010,2722137
,California,Black or African American,2011,2011,2738864
,California,Black or African American,2012,2012,2754811
,California,Black or African American,2013,2013,2768281
,California,Black or African American,2014,2014,2788916
,California,Black or African American,2015,2015,2806054
,California,Black or African American,2016,2016,2819090
,California,Black or African American,2017,2017,2834619
,California,Black or African American,2018,2018,2851095
Total,California,Black or African American,,,75333271
,California,White,1990,1990,24354238
,California,White,1991,1991,24674660
,California,White,1992,1992,24987762
,California,White,1993,1993,25131240
,California,White,1994,1994,25214253
,California,White,1995,1995,25298010
,California,White,1996,1996,25484457
,California,White,1997,1997,25795077
,California,White,1998,1998,26141690
,California,White,1999,1999,26492434
,California,White,2000,2000,26811620
,California,White,2001,2001,27098184
,California,White,2002,2002,27309018
,California,White,2003,2003,27511542
,California,White,2004,2004,27663667
,California,White,2005,2005,27746395
,California,White,2006,2006,27773583
,California,White,2007,2007,27832336
,California,White,2008,2008,27990346
,California,White,2009,2009,28147510
,California,White,2010,2010,28317765
,California,White,2011,2011,28496356
,California,White,2012,2012,28673658
,California,White,2013,2013,28837801
,California,White,2014,2014,29008534
,California,White,2015,2015,29153588
,California,White,2016,2016,29250601
,California,White,2017,2017,29289341
,California,White,2018,2018,29301825
Total,California,White,,,789787491
Total,California,,,,1019632747
,Colorado,American Indian or Alaska Native,1990,1990,31030
,Colorado,American Indian or Alaska Native,1991,1991,32561
